state,st,fips,total_vote,vote_margin,winner,party,pct_margin,r_points,d_points,pct_clinton,pct_trump,pct_johnson,pct_other,clinton_vote,trump_vote,johnson_vote,other_vote,ev_dem,ev_rep,ev_oth,census
Oklahoma,OK,40,1452992,528761,Trump,Republican,0.3639,36.38999999999999,-36.38999999999999,28.93,65.32,5.75,0,420375,949136,83481,0,0,7,0,South
Oregon,OR,41,2001336,219703,Clinton,Democratic,0.1098,-10.979999999999997,10.979999999999997,50.07,39.09,4.71,6.13,1002106,782403,94231,122596,7,0,0,West
Pennsylvania,PA,42,6166729,44292,Trump,Republican,0.0072,0.7100000000000009,-0.7100000000000009,47.46,48.17,2.38,1.99,2926441,2970733,146715,122840,0,20,0,Northeast
Rhode Island,RI,44,464144,71982,Clinton,Democratic,0.1551,-15.509999999999998,15.509999999999998,54.41,38.9,3.18,3.52,252525,180543,14746,16330,4,0,0,Northeast
South Carolina,SC,45,2103027,300016,Trump,Republican,0.1427,14.269999999999996,-14.269999999999996,40.67,54.94,2.34,2.05,855373,1155389,49204,43061,0,9,0,South
South Dakota,SD,46,370093,110263,Trump,Republican,0.2979,29.790000000000003,-29.790000000000003,31.74,61.53,5.63,1.1,117458,227721,20850,4064,0,3,0,Midwest
Tennessee,TN,47,2508027,652230,Trump,Republican,0.2601,26,-26,34.72,60.72,2.81,1.75,870695,1522925,70397,44010,0,11,0,South
Texas,TX,48,8993166,807179,Trump,Republican,0.0898,8.980000000000004,-8.980000000000004,43.12,52.1,3.15,1.63,3877868,4685047,283492,146759,0,36,2,South
Utah,UT,49,1143601,204555,Trump,Republican,0.1789,17.879999999999995,-17.879999999999995,27.17,45.05,3.46,24.32,310676,515231,39608,278086,0,6,0,West
Vermont,VT,50,315067,83204,Clinton,Democratic,0.2641,-26.41,26.41,56.68,30.27,3.2,9.85,178573,95369,10078,31047,3,0,0,Northeast
Virginia,VA,51,3982752,212030,Clinton,Democratic,0.0532,-5.32,5.32,49.75,44.43,2.97,2.85,1981473,1769443,118274,113562,13,0,0,South
Washington,WA,53,3316996,520971,Clinton,Democratic,0.1571,-15.71,15.71,52.54,36.83,4.85,5.78,1742718,1221747,160879,191652,8,0,4,West
West Virginia,WV,54,721233,300577,Trump,Republican,0.4168,41.669999999999995,-41.669999999999995,26.18,67.85,3.19,2.78,188794,489371,23004,20064,0,5,0,South
Wisconsin,WI,55,2976150,22748,Trump,Republican,0.0076,0.769999999999996,-0.769999999999996,46.45,47.22,3.58,2.74,1382536,1405284,106674,81656,0,10,0,Midwest
Wyoming,WY,56,255849,118446,Trump,Republican,0.463,46.290000000000006,-46.290000000000006,21.88,68.17,5.19,4.76,55973,174419,13287,12170,0,3,0,West
