year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2000,Iowa,19,19,2926324,NA,NA,0.2,Midwest,IA,West North Central
2000,Kansas,20,22,2688418,0.8,0.9,0.2,Midwest,KS,West North Central
2000,Kentucky,21,92,4041769,2.3,2.3,0.2,South,KY,East South Central
2000,Louisiana,22,52,4468976,1.2,1.2,0.2,South,LA,West South Central
2000,Maine,23,41,1274923,3.2,3.2,0.5,Northeast,ME,New England
2000,Maryland,24,481,5296486,9.1,8.7,0.4,South,MD,South Atlantic
2000,Massachusetts,25,314,6349097,4.9,4.8,0.3,Northeast,MA,New England
2000,Michigan,26,180,9938444,1.8,1.8,0.1,Midwest,MI,East North Central
2000,Minnesota,27,57,4919479,1.2,1.1,0.2,Midwest,MN,West North Central
2000,Mississippi,28,12,2844658,NA,NA,0.1,South,MS,East South Central
2000,Missouri,29,131,5595211,2.3,2.4,0.2,Midwest,MO,West North Central
2000,Montana,30,11,902195,NA,NA,0.4,West,MT,Mountain
2000,Nebraska,31,16,1711263,NA,NA,0.2,Midwest,NE,West North Central
2000,Nevada,32,178,1998257,8.9,8.8,0.7,West,NV,Mountain
2000,New Hampshire,33,29,1235786,2.3,2.2,0.4,Northeast,NH,New England
2000,New Jersey,34,350,8414350,4.2,4.1,0.2,Northeast,NJ,Middle Atlantic
2000,New Mexico,35,180,1819046,9.9,10,0.8,West,NM,Mountain
2000,New York,36,494,18976457,2.6,2.6,0.1,Northeast,NY,Middle Atlantic
2000,North Carolina,37,286,8049313,3.6,3.5,0.2,South,NC,South Atlantic
2000,Ohio,39,250,11353140,2.2,2.2,0.1,Midwest,OH,East North Central
2000,Oklahoma,40,127,3450654,3.7,3.8,0.3,South,OK,West South Central
2000,Oregon,41,106,3421399,3.1,3.1,0.3,West,OR,Pacific
2000,Pennsylvania,42,319,12281054,2.6,2.7,0.1,Northeast,PA,Middle Atlantic
2000,Rhode Island,44,57,1048319,5.4,5.4,0.7,Northeast,RI,New England
2000,South Carolina,45,87,4012012,2.2,2.2,0.2,South,SC,South Atlantic
