year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2005,Wisconsin,55,273,5546166,4.9,4.9,0.3,Midwest,WI,East North Central
2005,Wyoming,56,10,514157,NA,NA,0.6,West,WY,Mountain
2006,Alabama,1,124,4628981,2.7,2.7,0.2,South,AL,East South Central
2006,Alaska,2,29,675302,4.3,4.1,0.8,West,AK,Pacific
2006,Arizona,4,459,6029141,7.6,7.8,0.4,West,AZ,Mountain
2006,Arkansas,5,140,2821761,5,5.1,0.4,South,AR,West South Central
2006,California,6,1511,36021202,4.2,4.1,0.1,West,CA,Pacific
2006,Colorado,8,326,4720423,6.9,6.7,0.4,West,CO,Mountain
2006,Connecticut,9,224,3517460,6.4,6.4,0.4,Northeast,CT,New England
2006,Delaware,10,37,859268,4.3,4.5,0.7,South,DE,South Atlantic
2006,District of Columbia,11,55,570681,9.6,9.6,1.3,South,DC,NA
2006,Florida,12,1223,18166990,6.7,6.9,0.2,South,FL,South Atlantic
2006,Georgia,13,331,9155813,3.6,3.6,0.2,South,GA,South Atlantic
2006,Hawaii,15,54,1309731,4.1,4,0.5,West,HI,Pacific
2006,Idaho,16,70,1468669,4.8,5,0.6,West,ID,Mountain
2006,Illinois,17,870,12643955,6.9,6.9,0.2,Midwest,IL,East North Central
2006,Indiana,18,176,6332669,2.8,2.8,0.2,Midwest,IN,East North Central
2006,Iowa,19,93,2982644,3.1,3.3,0.3,Midwest,IA,West North Central
2006,Kansas,20,120,2762931,4.3,4.5,0.4,Midwest,KS,West North Central
2006,Kentucky,21,331,4219239,7.8,8,0.4,South,KY,East South Central
2006,Louisiana,22,194,4302665,4.5,4.6,0.3,South,LA,West South Central
2006,Maine,23,93,1323619,7,7.3,0.8,Northeast,ME,New England
2006,Maryland,24,565,5627367,10,9.7,0.4,South,MD,South Atlantic
2006,Massachusetts,25,659,6410084,10.3,10.1,0.4,Northeast,MA,New England
2006,Michigan,26,594,10036081,5.9,6,0.2,Midwest,MI,East North Central
2006,Minnesota,27,158,5163555,3.1,3,0.2,Midwest,MN,West North Central
2006,Mississippi,28,65,2904978,2.2,2.3,0.3,South,MS,East South Central
2006,Missouri,29,403,5842704,6.9,7.1,0.4,Midwest,MO,West North Central
2006,Montana,30,47,952692,4.9,5.2,0.8,West,MT,Mountain
2006,Nebraska,31,34,1772693,1.9,1.9,0.3,Midwest,NE,West North Central
2006,Nevada,32,343,2522658,13.6,13.4,0.7,West,NV,Mountain
2006,New Hampshire,33,104,1308389,7.9,7.9,0.8,Northeast,NH,New England
2006,New Jersey,34,372,8661679,4.3,4.3,0.2,Northeast,NJ,Middle Atlantic
2006,New Mexico,35,243,1962137,12.4,12.5,0.8,West,NM,Mountain
2006,New York,36,1010,19104631,5.3,5.2,0.2,Northeast,NY,Middle Atlantic
2006,North Carolina,37,696,8917270,7.8,7.8,0.3,South,NC,South Atlantic
2006,Ohio,39,634,11481213,5.5,5.6,0.2,Midwest,OH,East North Central
2006,Oklahoma,40,383,3594090,10.7,11.1,0.6,South,OK,West South Central
2006,Oregon,41,359,3670883,9.8,9.6,0.5,West,OR,Pacific
2006,Pennsylvania,42,418,12510809,3.3,3.5,0.2,Northeast,PA,Middle Atlantic
2006,Rhode Island,44,130,1063096,12.2,12.2,1.1,Northeast,RI,New England
2006,South Carolina,45,214,4357847,4.9,4.9,0.3,South,SC,South Atlantic
2006,South Dakota,46,23,783033,2.9,3.3,0.7,Midwest,SD,West North Central
2006,Tennessee,47,470,6088766,7.7,7.7,0.4,South,TN,East South Central
2006,Texas,48,1067,23359580,4.6,4.6,0.1,South,TX,West South Central
2006,Utah,49,331,2525507,13.1,13.9,0.8,West,UT,Mountain
2006,Vermont,50,57,622892,9.2,9.4,1.3,Northeast,VT,New England
2006,Virginia,51,408,7673725,5.3,5.3,0.3,South,VA,South Atlantic
2006,Washington,53,661,6370753,10.4,10,0.4,West,WA,Pacific
2006,West Virginia,54,285,1827912,15.6,16.1,1,South,WV,South Atlantic
2006,Wisconsin,55,334,5577655,6,6,0.3,Midwest,WI,East North Central
2006,Wyoming,56,14,522667,NA,NA,0.8,West,WY,Mountain
2007,Alabama,1,165,4672840,3.5,3.6,0.3,South,AL,East South Central
2007,Alaska,2,15,680300,NA,NA,0.5,West,AK,Pacific
2007,Arizona,4,461,6167681,7.5,7.7,0.4,West,AZ,Mountain
2007,Arkansas,5,148,2848650,5.2,5.4,0.4,South,AR,West South Central
2007,California,6,1657,36250311,4.6,4.5,0.1,West,CA,Pacific
2007,Colorado,8,353,4803868,7.3,7,0.4,West,CO,Mountain
2007,Connecticut,9,244,3527270,6.9,7,0.5,Northeast,CT,New England
2007,Delaware,10,45,871749,5.2,5.1,0.8,South,DE,South Atlantic
2007,District of Columbia,11,29,574404,5,5.2,1,South,DC,NA
2007,Florida,12,1473,18367842,8,8.2,0.2,South,FL,South Atlantic
2007,Georgia,13,385,9349988,4.1,4.1,0.2,South,GA,South Atlantic
2007,Hawaii,15,78,1315675,5.9,5.7,0.7,West,HI,Pacific
2007,Idaho,16,62,1505105,4.1,4.3,0.5,West,ID,Mountain
2007,Illinois,17,691,12695866,5.4,5.5,0.2,Midwest,IL,East North Central
2007,Indiana,18,241,6379599,3.8,3.9,0.3,Midwest,IN,East North Central
2007,Iowa,19,107,2999212,3.6,3.6,0.4,Midwest,IA,West North Central
2007,Kansas,20,117,2783785,4.2,4.4,0.4,Midwest,KS,West North Central
2007,Kentucky,21,343,4256672,8.1,8.1,0.4,South,KY,East South Central
2007,Louisiana,22,212,4375581,4.8,4.9,0.3,South,LA,West South Central
2007,Maine,23,102,1327040,7.7,8.1,0.8,Northeast,ME,New England
2007,Maryland,24,600,5653408,10.6,10.3,0.4,South,MD,South Atlantic
2007,Massachusetts,25,649,6431559,10.1,9.9,0.4,Northeast,MA,New England
2007,Michigan,26,506,10001284,5.1,5.1,0.2,Midwest,MI,East North Central
2007,Minnesota,27,180,5207203,3.5,3.4,0.3,Midwest,MN,West North Central
2007,Mississippi,28,95,2928350,3.2,3.3,0.3,South,MS,East South Central
2007,Missouri,29,390,5887612,6.6,6.7,0.3,Midwest,MO,West North Central
2007,Montana,30,62,964706,6.4,6.3,0.8,West,MT,Mountain
2007,Nebraska,31,39,1783440,2.2,2.4,0.4,Midwest,NE,West North Central
2007,Nevada,32,376,2601072,14.5,14.2,0.7,West,NV,Mountain
2007,New Hampshire,33,145,1312540,11,10.9,0.9,Northeast,NH,New England
2007,New Jersey,34,339,8677885,3.9,3.9,0.2,Northeast,NJ,Middle Atlantic
2007,New Mexico,35,266,1990070,13.4,13.5,0.8,West,NM,Mountain
2007,New York,36,1029,19132335,5.4,5.2,0.2,Northeast,NY,Middle Atlantic
2007,North Carolina,37,750,9118037,8.2,8.2,0.3,South,NC,South Atlantic
2007,North Dakota,38,17,652822,NA,NA,0.6,Midwest,ND,West North Central
2007,Ohio,39,705,11500468,6.1,6.2,0.2,Midwest,OH,East North Central
2007,Oklahoma,40,492,3634349,13.5,13.9,0.6,South,OK,West South Central
2007,Oregon,41,358,3722417,9.6,9.4,0.5,West,OR,Pacific
2007,Pennsylvania,42,492,12563937,3.9,4,0.2,Northeast,PA,Middle Atlantic
2007,Rhode Island,44,87,1057315,8.2,8,0.9,Northeast,RI,New England
2007,South Carolina,45,199,4444110,4.5,4.5,0.3,South,SC,South Atlantic
2007,South Dakota,46,20,791623,2.5,2.5,0.6,Midwest,SD,West North Central
2007,Tennessee,47,479,6175727,7.8,7.8,0.4,South,TN,East South Central
2007,Texas,48,1021,23831983,4.3,4.3,0.1,South,TX,West South Central
2007,Utah,49,359,2597746,13.8,14.7,0.8,West,UT,Mountain
2007,Vermont,50,52,623481,8.3,8.8,1.2,Northeast,VT,New England
2007,Virginia,51,502,7751000,6.5,6.4,0.3,South,VA,South Atlantic
2007,Washington,53,651,6461587,10.1,9.7,0.4,West,WA,Pacific
2007,West Virginia,54,332,1834052,18.1,19,1.1,South,WV,South Atlantic
2007,Wisconsin,55,371,5610775,6.6,6.7,0.4,Midwest,WI,East North Central
2007,Wyoming,56,25,534876,4.7,4.6,0.9,West,WY,Mountain
2008,Alabama,1,185,4718206,3.9,4.1,0.3,South,AL,East South Central
2008,Alaska,2,88,687455,12.8,12.5,1.4,West,AK,Pacific
2008,Arizona,4,494,6280362,7.9,8.1,0.4,West,AZ,Mountain
2008,Arkansas,5,197,2874554,6.9,7.2,0.5,South,AR,West South Central
2008,California,6,1801,36604337,4.9,4.8,0.1,West,CA,Pacific
2008,Colorado,8,355,4889730,7.3,7,0.4,West,CO,Mountain
2008,Connecticut,9,230,3545579,6.5,6.5,0.4,Northeast,CT,New England
2008,Delaware,10,65,883874,7.4,7.7,1,South,DE,South Atlantic
2008,District of Columbia,11,31,580236,5.3,5.1,0.9,South,DC,NA
2008,Florida,12,1478,18527305,8,8.2,0.2,South,FL,South Atlantic
2008,Georgia,13,404,9504843,4.3,4.2,0.2,South,GA,South Atlantic
2008,Hawaii,15,53,1332213,4,3.9,0.5,West,HI,Pacific
2008,Idaho,16,72,1534320,4.7,4.8,0.6,West,ID,Mountain
2008,Illinois,17,846,12747038,6.6,6.7,0.2,Midwest,IL,East North Central
2008,Indiana,18,311,6424806,4.8,5,0.3,Midwest,IN,East North Central
2008,Iowa,19,127,3016734,4.2,4.4,0.4,Midwest,IA,West North Central
2008,Kansas,20,96,2808076,3.4,3.5,0.4,Midwest,KS,West North Central
2008,Kentucky,21,365,4289878,8.5,8.7,0.5,South,KY,East South Central
2008,Louisiana,22,130,4435586,2.9,2.9,0.3,South,LA,West South Central
2008,Maine,23,105,1330509,7.9,8.2,0.8,Northeast,ME,New England
2008,Maryland,24,513,5684965,9,8.7,0.4,South,MD,South Atlantic
2008,Massachusetts,25,596,6468967,9.2,9.1,0.4,Northeast,MA,New England
2008,Michigan,26,643,9946889,6.5,6.5,0.3,Midwest,MI,East North Central
2008,Minnesota,27,227,5247018,4.3,4.3,0.3,Midwest,MN,West North Central
2008,Mississippi,28,106,2947806,3.6,3.7,0.4,South,MS,East South Central
2008,Missouri,29,475,5923916,8,8.2,0.4,Midwest,MO,West North Central
2008,Montana,30,70,976415,7.2,7.6,0.9,West,MT,Mountain
2008,Nebraska,31,29,1796378,1.6,1.7,0.3,Midwest,NE,West North Central
2008,Nevada,32,397,2653630,15,14.7,0.7,West,NV,Mountain
2008,New Hampshire,33,94,1315906,7.1,7,0.7,Northeast,NH,New England
2008,New Jersey,34,331,8711090,3.8,3.8,0.2,Northeast,NJ,Middle Atlantic
2008,New Mexico,35,324,2010662,16.1,16.6,0.9,West,NM,Mountain
2008,New York,36,1116,19212436,5.8,5.6,0.2,Northeast,NY,Middle Atlantic
2008,North Carolina,37,846,9309449,9.1,9.1,0.3,South,NC,South Atlantic
2008,North Dakota,38,32,657569,4.9,5.1,0.9,Midwest,ND,West North Central
2008,Ohio,39,814,11515391,7.1,7.2,0.3,Midwest,OH,East North Central
2008,Oklahoma,40,410,3668976,11.2,11.4,0.6,South,OK,West South Central
2008,Oregon,41,342,3768748,9.1,9,0.5,West,OR,Pacific
2008,Pennsylvania,42,611,12612285,4.8,4.9,0.2,Northeast,PA,Middle Atlantic
2008,Rhode Island,44,133,1055003,12.6,12.5,1.1,Northeast,RI,New England
2008,South Carolina,45,218,4528996,4.8,4.8,0.3,South,SC,South Atlantic
2008,South Dakota,46,31,799124,3.9,4.2,0.8,Midwest,SD,West North Central
2008,Tennessee,47,480,6247411,7.7,7.7,0.4,South,TN,East South Central
2008,Texas,48,944,24309039,3.9,3.9,0.1,South,TX,West South Central
2008,Utah,49,350,2663029,13.1,14,0.8,West,UT,Mountain
2008,Vermont,50,57,624151,9.1,8.6,1.2,Northeast,VT,New England
2008,Virginia,51,490,7833496,6.3,6.2,0.3,South,VA,South Atlantic
2008,Washington,53,690,6562231,10.5,10.1,0.4,West,WA,Pacific
2008,West Virginia,54,371,1840310,20.2,21,1.1,South,WV,South Atlantic
2008,Wisconsin,55,369,5640996,6.5,6.6,0.3,Midwest,WI,East North Central
2008,Wyoming,56,40,546043,7.3,7.6,1.2,West,WY,Mountain
2009,Alabama,1,206,4757938,4.3,4.5,0.3,South,AL,East South Central
2009,Alaska,2,90,698895,12.9,12.5,1.3,West,AK,Pacific
2009,Arizona,4,605,6343154,9.5,9.8,0.4,West,AZ,Mountain
2009,Arkansas,5,201,2896843,6.9,7.2,0.5,South,AR,West South Central
2009,California,6,1987,36961229,5.4,5.2,0.1,West,CA,Pacific
2009,Colorado,8,397,4972195,8,7.7,0.4,West,CO,Mountain
2009,Connecticut,9,216,3561807,6.1,6.2,0.4,Northeast,CT,New England
2009,Delaware,10,81,891730,9.1,9.3,1,South,DE,South Atlantic
2009,District of Columbia,11,13,592228,NA,NA,0.6,South,DC,NA
2009,Florida,12,1590,18652644,8.5,8.7,0.2,South,FL,South Atlantic
2009,Georgia,13,490,9620846,5.1,5,0.2,South,GA,South Atlantic
2009,Hawaii,15,57,1346717,4.2,4.1,0.5,West,HI,Pacific
2009,Idaho,16,62,1554439,4,4.2,0.5,West,ID,Mountain
2009,Illinois,17,886,12796778,6.9,6.9,0.2,Midwest,IL,East North Central
2009,Indiana,18,319,6459325,4.9,5,0.3,Midwest,IN,East North Central
2009,Iowa,19,141,3032870,4.6,4.9,0.4,Midwest,IA,West North Central
2009,Kansas,20,148,2832704,5.2,5.5,0.5,Midwest,KS,West North Central
2009,Kentucky,21,434,4317074,10.1,10.2,0.5,South,KY,East South Central
2009,Louisiana,22,122,4491648,2.7,2.8,0.3,South,LA,West South Central
2009,Maine,23,114,1329590,8.6,8.7,0.8,Northeast,ME,New England
2009,Maryland,24,586,5730388,10.2,9.9,0.4,South,MD,South Atlantic
2009,Massachusetts,25,622,6517613,9.5,9.4,0.4,Northeast,MA,New England
2009,Michigan,26,736,9901591,7.4,7.5,0.3,Midwest,MI,East North Central
2009,Minnesota,27,272,5281203,5.2,5.2,0.3,Midwest,MN,West North Central
2009,Mississippi,28,96,2958774,3.2,3.4,0.3,South,MS,East South Central
2009,Missouri,29,526,5961088,8.8,9,0.4,Midwest,MO,West North Central
2009,Montana,30,89,983982,9,9.4,1,West,MT,Mountain
2009,Nebraska,31,66,1812683,3.6,3.7,0.5,Midwest,NE,West North Central
2009,Nevada,32,439,2684665,16.4,15.9,0.8,West,NV,Mountain
2009,New Hampshire,33,126,1316102,9.6,9.5,0.9,Northeast,NH,New England
2009,New Jersey,34,55,8755602,0.6,0.7,0.1,Northeast,NJ,Middle Atlantic
2009,New Mexico,35,200,2036802,9.8,10.2,0.7,West,NM,Mountain
2009,New York,36,1058,19307066,5.5,5.4,0.2,Northeast,NY,Middle Atlantic
2009,North Carolina,37,857,9449566,9.1,9.1,0.3,South,NC,South Atlantic
2009,North Dakota,38,17,664968,NA,NA,0.7,Midwest,ND,West North Central
2009,Ohio,39,664,11528896,5.8,5.9,0.2,Midwest,OH,East North Central
2009,Oklahoma,40,568,3717572,15.3,15.5,0.7,South,OK,West South Central
2009,Oregon,41,368,3808600,9.7,9.5,0.5,West,OR,Pacific
2009,Pennsylvania,42,637,12666858,5,5.2,0.2,Northeast,PA,Middle Atlantic
2009,Rhode Island,44,115,1053646,10.9,10.6,1,Northeast,RI,New England
2009,South Carolina,45,238,4589872,5.2,5.2,0.3,South,SC,South Atlantic
2009,South Dakota,46,35,807067,4.3,4.6,0.8,Midwest,SD,West North Central
2009,Tennessee,47,535,6306019,8.5,8.5,0.4,South,TN,East South Central
2009,Texas,48,1151,24801761,4.6,4.6,0.1,South,TX,West South Central
2009,Utah,49,370,2723421,13.6,14.7,0.8,West,UT,Mountain
2009,Vermont,50,39,624817,6.2,6,1,Northeast,VT,New England
2009,Virginia,51,477,7925937,6,5.9,0.3,South,VA,South Atlantic
2009,Washington,53,708,6667426,10.6,10.2,0.4,West,WA,Pacific
2009,West Virginia,54,184,1847775,10,10.3,0.8,South,WV,South Atlantic
2009,Wisconsin,55,397,5669264,7,6.9,0.4,Midwest,WI,East North Central
2009,Wyoming,56,32,559851,5.7,5.7,1,West,WY,Mountain
2010,Alabama,1,187,4779736,3.9,4.1,0.3,South,AL,East South Central
2010,Alaska,2,62,710231,8.7,8.7,1.1,West,AK,Pacific
2010,Arizona,4,626,6392017,9.8,9.9,0.4,West,AZ,Mountain
2010,Arkansas,5,189,2915918,6.5,6.8,0.5,South,AR,West South Central
2010,California,6,1929,37253956,5.2,5,0.1,West,CA,Pacific
2010,Colorado,8,304,5029196,6,5.9,0.3,West,CO,Mountain
2010,Connecticut,9,223,3574097,6.2,6.3,0.4,Northeast,CT,New England
2010,Delaware,10,103,897934,11.5,12,1.2,South,DE,South Atlantic
2010,District of Columbia,11,34,601723,5.7,5.8,1,South,DC,NA
2010,Florida,12,1674,18801310,8.9,9.1,0.2,South,FL,South Atlantic
2010,Georgia,13,534,9687653,5.5,5.4,0.2,South,GA,South Atlantic
2010,Hawaii,15,74,1360301,5.4,5.3,0.6,West,HI,Pacific
2010,Idaho,16,79,1567582,5,5.3,0.6,West,ID,Mountain
2010,Illinois,17,867,12830632,6.8,6.8,0.2,Midwest,IL,East North Central
2010,Indiana,18,289,6483802,4.5,4.5,0.3,Midwest,IN,East North Central
2010,Iowa,19,147,3046355,4.8,5.1,0.4,Midwest,IA,West North Central
2010,Kansas,20,104,2853118,3.6,3.8,0.4,Midwest,KS,West North Central
2010,Kentucky,21,591,4339367,13.6,14.1,0.6,South,KY,East South Central
2010,Louisiana,22,123,4533372,2.7,2.8,0.3,South,LA,West South Central
2010,Maine,23,90,1328361,6.8,7.1,0.8,Northeast,ME,New England
2010,Maryland,24,509,5773552,8.8,8.7,0.4,South,MD,South Atlantic
2010,Massachusetts,25,549,6547629,8.4,8.3,0.4,Northeast,MA,New England
2010,Michigan,26,695,9883640,7,7,0.3,Midwest,MI,East North Central
2010,Minnesota,27,235,5303925,4.4,4.4,0.3,Midwest,MN,West North Central
2010,Mississippi,28,100,2967297,3.4,3.3,0.3,South,MS,East South Central
2010,Missouri,29,599,5988927,10,10.3,0.4,Midwest,MO,West North Central
2010,Montana,30,54,989415,5.5,6.1,0.8,West,MT,Mountain
2010,Nebraska,31,58,1826341,3.2,3.4,0.5,Midwest,NE,West North Central
2010,Nevada,32,439,2700551,16.3,15.8,0.8,West,NV,Mountain
2010,New Hampshire,33,116,1316470,8.8,8.9,0.8,Northeast,NH,New England
2010,New Jersey,34,373,8791894,4.2,4.2,0.2,Northeast,NJ,Middle Atlantic
2010,New Mexico,35,191,2059179,9.3,9.5,0.7,West,NM,Mountain
2010,New York,36,1074,19378102,5.5,5.4,0.2,Northeast,NY,Middle Atlantic
2010,North Carolina,37,776,9535483,8.1,8.1,0.3,South,NC,South Atlantic
2010,North Dakota,38,18,672591,NA,NA,0.6,Midwest,ND,West North Central
2010,Ohio,39,1124,11536504,9.7,10,0.3,Midwest,OH,East North Central
2010,Oklahoma,40,510,3751351,13.6,13.9,0.6,South,OK,West South Central
2010,Oregon,41,332,3831074,8.7,8.5,0.5,West,OR,Pacific
2010,Pennsylvania,42,629,12702379,5,5.1,0.2,Northeast,PA,Middle Atlantic
2010,Rhode Island,44,111,1052567,10.5,10.5,1,Northeast,RI,New England
2010,South Carolina,45,271,4625364,5.9,5.9,0.4,South,SC,South Atlantic
2010,South Dakota,46,32,814180,3.9,4.5,0.8,Midwest,SD,West North Central
2010,Tennessee,47,633,6346105,10,10,0.4,South,TN,East South Central
2010,Texas,48,1123,25145561,4.5,4.4,0.1,South,TX,West South Central
2010,Utah,49,336,2763885,12.2,12.8,0.7,West,UT,Mountain
2010,Vermont,50,43,625741,6.9,6.8,1.1,Northeast,VT,New England
2010,Virginia,51,389,8001024,4.9,4.8,0.2,South,VA,South Atlantic
2010,Washington,53,628,6724540,9.3,8.9,0.4,West,WA,Pacific
2010,West Virginia,54,451,1852994,24.3,25.6,1.2,South,WV,South Atlantic
2010,Wisconsin,55,415,5686986,7.3,7.3,0.4,Midwest,WI,East North Central
2010,Wyoming,56,47,563626,8.3,8.5,1.3,West,WY,Mountain
2011,Alabama,1,176,4802740,3.7,3.8,0.3,South,AL,East South Central
2011,Alaska,2,66,722718,9.1,8.7,1.1,West,AK,Pacific
2011,Arizona,4,562,6482505,8.7,8.8,0.4,West,AZ,Mountain
2011,Arkansas,5,169,2937979,5.8,6.2,0.5,South,AR,West South Central
2011,California,6,1938,37691912,5.1,5,0.1,West,CA,Pacific
2011,Colorado,8,418,5116796,8.2,8,0.4,West,CO,Mountain
2011,Connecticut,9,209,3580709,5.8,6,0.4,Northeast,CT,New England
2011,Delaware,10,113,907135,12.5,12.6,1.2,South,DE,South Atlantic
2011,District of Columbia,11,51,617996,8.3,8,1.1,South,DC,NA
2011,Florida,12,1576,19057542,8.3,8.4,0.2,South,FL,South Atlantic
2011,Georgia,13,535,9815210,5.5,5.4,0.2,South,GA,South Atlantic
2011,Hawaii,15,77,1374810,5.6,5.4,0.6,West,HI,Pacific
2011,Idaho,16,77,1584985,4.9,5.1,0.6,West,ID,Mountain
2011,Illinois,17,907,12869257,7,7.1,0.2,Midwest,IL,East North Central
2011,Indiana,18,356,6516922,5.5,5.6,0.3,Midwest,IN,East North Central
2011,Iowa,19,172,3062309,5.6,5.9,0.5,Midwest,IA,West North Central
2011,Kansas,20,118,2871238,4.1,4.3,0.4,Midwest,KS,West North Central
2011,Kentucky,21,669,4369356,15.3,15.8,0.6,South,KY,East South Central
2011,Louisiana,22,116,4574836,2.5,2.5,0.2,South,LA,West South Central
2011,Maine,23,85,1328188,6.4,6.7,0.8,Northeast,ME,New England
2011,Maryland,24,546,5828289,9.4,9.1,0.4,South,MD,South Atlantic
2011,Massachusetts,25,655,6587536,9.9,9.9,0.4,Northeast,MA,New England
2011,Michigan,26,714,9876187,7.2,7.5,0.3,Midwest,MI,East North Central
2011,Minnesota,27,286,5344861,5.4,5.3,0.3,Midwest,MN,West North Central
2011,Mississippi,28,79,2978512,2.7,2.9,0.3,South,MS,East South Central
2011,Missouri,29,595,6010688,9.9,10.2,0.4,Midwest,MO,West North Central
2011,Montana,30,63,998199,6.3,6.8,0.9,West,MT,Mountain
2011,Nebraska,31,53,1842641,2.9,2.8,0.4,Midwest,NE,West North Central
2011,Nevada,32,461,2723322,16.9,16.5,0.8,West,NV,Mountain
2011,New Hampshire,33,154,1318194,11.7,11.5,1,Northeast,NH,New England
2011,New Jersey,34,454,8821155,5.1,5.1,0.2,Northeast,NJ,Middle Atlantic
2011,New Mexico,35,243,2082224,11.7,11.9,0.8,West,NM,Mountain
2011,New York,36,1356,19465197,7,6.8,0.2,Northeast,NY,Middle Atlantic
2011,North Carolina,37,822,9656401,8.5,8.6,0.3,South,NC,South Atlantic
2011,North Dakota,38,10,683932,NA,NA,0.4,Midwest,ND,West North Central
2011,Ohio,39,1272,11544951,11,11.2,0.3,Midwest,OH,East North Central
2011,Oklahoma,40,483,3791508,12.7,13,0.6,South,OK,West South Central
2011,Oregon,41,392,3871859,10.1,10.1,0.5,West,OR,Pacific
2011,Pennsylvania,42,752,12742886,5.9,6.2,0.2,Northeast,PA,Middle Atlantic
2011,Rhode Island,44,142,1051302,13.5,13.3,1.1,Northeast,RI,New England
2011,South Carolina,45,243,4679230,5.2,5.3,0.3,South,SC,South Atlantic
2011,South Dakota,46,34,824082,4.1,4.5,0.8,Midwest,SD,West North Central
2011,Tennessee,47,633,6403353,9.9,10.1,0.4,South,TN,East South Central
2011,Texas,48,1178,25674681,4.6,4.6,0.1,South,TX,West South Central
2011,Utah,49,381,2817222,13.5,14.6,0.8,West,UT,Mountain
2011,Vermont,50,55,626431,8.8,9.1,1.3,Northeast,VT,New England
2011,Virginia,51,575,8096604,7.1,7.1,0.3,South,VA,South Atlantic
2011,Washington,53,697,6830038,10.2,9.9,0.4,West,WA,Pacific
2011,West Virginia,54,550,1855364,29.6,31.5,1.4,South,WV,South Atlantic
2011,Wisconsin,55,473,5711767,8.3,8.3,0.4,Midwest,WI,East North Central
2011,Wyoming,56,43,568158,7.6,7.5,1.2,West,WY,Mountain
2012,Alabama,1,165,4822023,3.4,3.6,0.3,South,AL,East South Central
2012,Alaska,2,81,731449,11.1,10.8,1.2,West,AK,Pacific
2012,Arizona,4,526,6553255,8,8.2,0.4,West,AZ,Mountain
2012,Arkansas,5,169,2949131,5.7,6,0.5,South,AR,West South Central
2012,California,6,1719,38041430,4.5,4.4,0.1,West,CA,Pacific
2012,Colorado,8,407,5187582,7.8,7.7,0.4,West,CO,Mountain
2012,Connecticut,9,201,3590347,5.6,5.7,0.4,Northeast,CT,New England
2012,Delaware,10,82,917092,8.9,9.2,1,South,DE,South Atlantic
2012,District of Columbia,11,44,632323,7,7.3,1.1,South,DC,NA
2012,Florida,12,1326,19317568,6.9,6.9,0.2,South,FL,South Atlantic
2012,Georgia,13,536,9919945,5.4,5.4,0.2,South,GA,South Atlantic
2012,Hawaii,15,62,1392313,4.5,4.5,0.6,West,HI,Pacific
2012,Idaho,16,59,1595728,3.7,3.9,0.5,West,ID,Mountain
2012,Illinois,17,1151,12875255,8.9,8.9,0.3,Midwest,IL,East North Central
2012,Indiana,18,375,6537334,5.7,5.9,0.3,Midwest,IN,East North Central
2012,Iowa,19,171,3074186,5.6,5.9,0.5,Midwest,IA,West North Central
2012,Kansas,20,171,2885905,5.9,6.3,0.5,Midwest,KS,West North Central
2012,Kentucky,21,673,4380415,15.4,15.5,0.6,South,KY,East South Central
2012,Louisiana,22,169,4601893,3.7,3.7,0.3,South,LA,West South Central
2012,Maine,23,100,1329192,7.5,7.9,0.8,Northeast,ME,New England
2012,Maryland,24,657,5884563,11.2,10.9,0.4,South,MD,South Atlantic
2012,Massachusetts,25,691,6646144,10.4,10.4,0.4,Northeast,MA,New England
2012,Michigan,26,685,9883360,6.9,7.1,0.3,Midwest,MI,East North Central
2012,Minnesota,27,290,5379139,5.4,5.3,0.3,Midwest,MN,West North Central
2012,Mississippi,28,111,2984926,3.7,3.9,0.4,South,MS,East South Central
2012,Missouri,29,539,6021988,9,9.3,0.4,Midwest,MO,West North Central
2012,Montana,30,51,1005141,5.1,5.3,0.8,West,MT,Mountain
2012,Nebraska,31,53,1855525,2.9,3,0.4,Midwest,NE,West North Central
2012,Nevada,32,446,2758931,16.2,15.6,0.7,West,NV,Mountain
2012,New Hampshire,33,133,1320718,10.1,10.5,0.9,Northeast,NH,New England
2012,New Jersey,34,602,8864590,6.8,6.8,0.3,Northeast,NJ,Middle Atlantic
2012,New Mexico,35,319,2085538,15.3,16.1,0.9,West,NM,Mountain
2012,New York,36,1530,19570261,7.8,7.6,0.2,Northeast,NY,Middle Atlantic
2012,North Carolina,37,833,9752073,8.5,8.6,0.3,South,NC,South Atlantic
2012,Ohio,39,1355,11544225,11.7,12.3,0.3,Midwest,OH,East North Central
2012,Oklahoma,40,531,3814820,13.9,14.2,0.6,South,OK,West South Central
2012,Oregon,41,361,3899353,9.3,9.2,0.5,West,OR,Pacific
2012,Pennsylvania,42,827,12763536,6.5,6.8,0.2,Northeast,PA,Middle Atlantic
2012,Rhode Island,44,140,1050292,13.3,13.2,1.1,Northeast,RI,New England
2012,South Carolina,45,237,4723723,5,5.1,0.3,South,SC,South Atlantic
2012,South Dakota,46,24,833354,2.9,3.1,0.6,Midwest,SD,West North Central
2012,Tennessee,47,723,6456243,11.2,11.4,0.4,South,TN,East South Central
2012,Texas,48,1131,26059203,4.3,4.4,0.1,South,TX,West South Central
2012,Utah,49,422,2855287,14.8,16.1,0.8,West,UT,Mountain
2012,Vermont,50,55,626011,8.8,8.6,1.2,Northeast,VT,New England
2012,Virginia,51,533,8185867,6.5,6.5,0.3,South,VA,South Atlantic
2012,Washington,53,695,6897012,10.1,9.7,0.4,West,WA,Pacific
