year,month,n_days,births,total_pop,births_pct,births_pct_day,date,seasonal,trend,remainder,country
1995,12,31,314970,266278393,0.0011828597748822977,38.156766931687024,1995-12-01,-0.6141606386287127,39.643685732708406,-0.872758162392671,United States
1996,1,31,314283,269394284,0.001166628316434509,37.63317149788739,1996-01-01,-1.6085093034190672,39.59214888455481,-0.35046808324835155,United States
1996,2,29,301763,269394284,0.0011201536852207302,38.62598914554242,1996-02-01,-0.5644234878413117,39.57513271200263,-0.3847200786188978,United States
1996,3,31,322581,269394284,0.0011974307517230024,38.6267984426775,1996-03-01,-0.8884575632235526,39.55811653945045,-0.042860533549401225,United States
1996,4,30,312595,269394284,0.0011603624076893925,38.67874692297975,1996-04-01,-2.1914078893269866,39.538802145487146,1.3313526668195905,United States
1996,5,31,325708,269394284,0.001209038273432706,39.00123462686148,1996-05-01,-1.9704662783375964,39.51948775152384,1.4522131536752383,United States
1996,6,30,318525,269394284,0.0011823747529847368,39.41249176615789,1996-06-01,-0.33660673586964635,39.491730769261494,0.25736773276604197,United States
1996,7,31,345162,269394284,0.001281252129313924,41.330713848836254,1996-07-01,1.8920607179379236,39.46397378699915,-0.02532065610081702,United States
1996,8,31,346317,269394284,0.0012855395254043327,41.469016948526864,1996-08-01,2.71947908196612,39.40763960031498,-0.6581017337542363,United States
1996,9,30,336348,269394284,0.0012485342859019236,41.61780953006412,1996-09-01,3.372815671156534,39.35130541363082,-1.1063115547232272,United States
1996,10,31,336346,269394284,0.0012485268618394293,40.275060059336425,1996-10-01,0.7550115427415952,39.31701209633991,0.20303642025492508,United States
1996,11,30,309397,269394284,0.0011484913317611446,38.28304439203816,1996-11-01,-0.5653351222018824,39.282718779049,-0.4343392648089619,United States
1996,12,31,322469,269394284,0.0011970150042233264,38.61338723301053,1996-12-01,-0.6141606386287127,39.28914433137557,-0.06159645973632877,United States
1997,1,31,317211,272646925,0.0011634497619952985,37.5306374837193,1997-01-01,-1.6085093034190672,39.295569883702136,-0.1564230965637634,United States
1997,2,28,291541,272646925,0.0010692986909718494,38.18923896328033,1997-02-01,-0.5644234878413117,39.26999249831674,-0.5163300471950976,United States
1997,3,31,321212,272646925,0.0011781244186047579,38.004013503379284,1997-03-01,-0.8884575632235526,39.24441511293135,-0.3519440463285122,United States
1997,4,30,314230,272646925,0.0011525162075457114,38.41720691819038,1997-04-01,-2.1914078893269866,39.17088417898122,1.4377306285361513,United States
1997,5,31,330331,272646925,0.001211570605463458,39.08292275688574,1997-05-01,-1.9704662783375964,39.09735324503109,1.956035790192253,United States
1997,6,30,321867,272646925,0.0011805267930309503,39.35089310103167,1997-06-01,-0.33660673586964635,39.04228580775106,0.6452140291502602,United States
1997,7,31,346506,272646925,0.001270896416675156,40.99665860242438,1997-07-01,1.8920607179379236,38.98721837047102,0.11737951401543967,United States
1997,8,31,339122,272646925,0.001243813771235454,40.12302487856303,1997-08-01,2.71947908196612,38.960471293475194,-1.5569254968782857,United States
1997,9,30,333600,272646925,0.0012235604711111265,40.78534903703755,1997-09-01,3.372815671156534,38.933724216479376,-1.5211908505983587,United States
1997,10,31,328657,272646925,0.001205430796624609,38.88486440724545,1997-10-01,0.7550115427415952,38.94348677622166,-0.8136339117178011,United States
1997,11,30,307282,272646925,0.001127032699891994,37.56775666306647,1997-11-01,-0.5653351222018824,38.95324933596395,-0.8201575506956047,United States
1997,12,31,329335,272646925,0.0012079175292367592,38.96508158828255,1997-12-01,-0.6141606386287127,39.01064378758572,0.568598439325541,United States
1998,1,31,319340,275854104,0.0011576409245664151,37.34325563117468,1998-01-01,-1.6085093034190672,39.06803823920749,-0.11627330461374186,United States
